Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Plan Común,0,1,0,4,3,4,1,4,1,4,4,0,4,0,0,0,0,0,0,4,4,0,4,2,0,4,4,4,4,4,0,0,4,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,23,0,0,11,1,0,1,0
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,95,0,0,7,1,0,1,1
Ingeniería Civil Informática,2,1,2,4,4,4,4,4,1,2,4,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,49,0,0,7,1,1,1,0
Ingeniería Civil Metalúrgica,1,4,0,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,81,0,0,10,1,0,1,1
Ingeniería Civil Matemática,1,3,1,0,4,4,1,2,3,4,4,1,1,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,1,4,0,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,50,0,0,8,1,1,1,0
Ingeniería Civil Informática,2,4,0,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,85,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,1,0,0,0,3,0,4,4,1,1,4,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,1,0,0,0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,4,0,0,9,1,1,1,0
Ingeniería Civil,4,1,0,4,4,4,4,4,0,4,4,3,4,4,4,4,4,4,0,4,4,0,4,4,0,4,4,4,4,4,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,70,0,0,1,1,0,1,1
Ingeniería Civil Plan Común,4,4,0,4,3,4,2,4,1,2,3,0,0,0,4,0,4,4,4,0,4,0,4,4,4,4,3,4,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,11,1,0,1,1
Ingeniería Civil,1,1,0,4,0,4,4,4,1,4,2,3,3,4,4,4,4,0,4,4,4,0,4,4,2,4,4,4,0,2,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,1,1,0,1,0
Ingeniería Civil Informática,4,3,0,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,81,0,0,7,1,0,1,1
Ingeniería Civil,4,3,0,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,79,0,0,1,1,0,1,1
Ingeniería Civil Eléctrica,4,3,0,4,0,4,4,4,1,4,4,4,0,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,0,0,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,74,0,0,4,1,0,1,1
Ingeniería Civil Matemática,2,0,0,4,1,0,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,2,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,25,0,0,8,1,0,1,0
Ingeniería Civil Informática,2,4,0,0,3,4,3,1,4,4,4,1,4,0,4,4,0,4,4,4,4,4,4,0,4,4,4,4,2,1,4,2,4,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,65,0,0,7,1,1,1,1
Ingeniería Civil Matemática,4,0,0,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,37,0,0,8,1,1,1,0
Ingeniería Civil Informática,2,4,0,4,1,0,4,4,4,4,3,1,1,4,4,0,0,4,4,4,4,4,0,0,4,4,4,4,4,3,4,2,4,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,67,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97,0,0,9,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,90,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,96,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,3,4,0,4,4,4,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,0.0,3.0,4.0,4.0,4.0,4.0,84,0,0,9,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,0,3,4,3,2,2,4,4,4,0,4,0,4,4,0,0,4,4,4,4,4,4,4,1,0,4,4,4,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,86,0,0,7,1,0,1,1
Ingeniería Civil Metalúrgica,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,85,0,0,10,1,1,1,1
Ingeniería Civil,4,4,0,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,0,4,0,0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,78,0,0,1,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,93,0,0,7,1,0,1,1
Ingeniería Civil Matemática,4,4,0,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,83,0,0,8,1,1,1,1
Ingeniería Civil Mecánica,1,2,1,4,3,4,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43,0,0,9,1,0,1,0
Ingeniería Civil Mecánica,3,1,4,4,4,4,4,4,3,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,4,4,4,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,9,1,0,1,1
Ingeniería Civil Metalúrgica,1,0,4,4,4,4,4,4,4,4,4,1,3,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,3,4,4,4,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,43,0,0,10,1,0,1,0
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99,0,0,7,1,0,1,1
Ingeniería Civil Informática,2,4,0,4,3,4,4,4,4,3,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,78,0,0,7,1,0,1,1
Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,94,0,0,10,1,0,1,1
Ingeniería Civil,0,0,0,0,0,0,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0
Ingeniería Civil Informática,3,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,87,0,0,7,1,1,1,1
Ingeniería Civil Matemática,3,4,0,4,1,4,4,4,3,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,82,0,0,8,1,0,1,1
Ingeniería Civil Informática,4,0,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,53,0,0,7,1,0,1,0
Ingeniería Civil Plan Común,1,1,1,4,1,4,1,4,3,4,1,1,4,4,0,4,0,0,3,1,0,0,0,4,4,4,4,4,0,1,4,3,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,11,1,0,1,0
Ingeniería Civil Informática,2,4,0,4,1,4,4,4,3,4,4,4,4,4,4,0,3,4,0,0,3,4,0,4,4,4,4,4,4,4,4,0,4,4.0,3.0,0.0,4.0,0.0,1.0,0.0,4.0,76,0,0,7,1,0,1,1
Ingeniería Civil,1,1,1,4,4,4,4,4,4,4,4,1,3,4,0,4,4,4,4,4,4,0,0,4,4,4,4,4,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,37,0,0,1,1,1,1,0
Ingeniería Civil Matemática,4,4,0,0,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,94,0,0,8,1,1,1,1
Ingeniería Civil Informática,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,1,2,4,4,2,4.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,69,0,0,7,1,1,1,1
Ingeniería Civil Metalúrgica,1,0,0,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,4,0,0,0,0,3,4,4,2,4,0,0,4,0,0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,18,0,0,10,1,0,1,0
Ingeniería Civil Mecánica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,98,0,0,9,1,0,1,1
Ingeniería Civil,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,98,0,0,1,1,0,1,1
Ingeniería Civil Metalúrgica,4,1,0,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,1,0,0,0,0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,65,0,0,10,1,0,1,1
Ingeniería Civil,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43,0,0,1,1,1,1,0
Ingeniería Civil,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0
Ingeniería Civil Mecánica,1,4,0,4,1,0,1,2,3,1,1,0,1,4,4,0,4,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,65,0,0,9,1,1,1,1
Ingeniería Civil Mecánica,1,4,0,4,4,4,2,4,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,63,0,0,9,1,0,1,1
Ingeniería Civil Informática,1,0,1,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,1,0,3,4,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,38,0,0,7,1,0,1,0
Ingeniería Civil Informática,4,2,0,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,0,4,4,0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,69,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,0,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,88,0,0,7,1,0,1,1
Ingeniería Civil,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,0,4,0,0,4,4,4,4,4,0,0,0,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,75,0,0,1,1,0,1,1
Ingeniería Civil Matemática,2,2,4,4,4,0,4,2,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,73,0,0,8,1,0,1,1
Ingeniería Civil,0,1,0,0,1,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,1,0,1,0
Ingeniería Civil Plan Común,2,4,4,4,0,0,4,0,0,1,0,0,0,4,4,0,4,4,0,4,4,3,0,4,4,4,4,0,0,0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0,11,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,4,4,4,4,4,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,95,0,0,9,1,0,1,1
Ingeniería Civil Informática,4,4,0,0,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,96,0,0,7,1,0,1,1
Ingeniería Civil,4,3,0,0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80,0,0,1,1,1,1,1
Ingeniería Civil Mecánica,2,3,1,4,4,4,0,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,43,0,0,9,1,0,1,0
Ingeniería Civil Mecánica,1,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,1,0,4,4,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,65,0,0,9,1,0,1,1
Ingeniería Civil,1,3,0,0,1,4,2,4,0,4,4,1,4,0,0,0,0,0,0,4,0,0,4,4,4,4,4,4,4,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,40,0,0,1,1,0,1,0
Ingeniería Civil Plan Común,1,0,0,0,4,4,4,0,0,4,0,3,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,11,1,0,1,0
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,97,0,0,7,1,0,1,1
Ingeniería Civil,4,4,0,0,4,4,4,4,4,4,4,3,4,0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,2,4,0,4,4,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,86,0,0,1,1,0,1,1
Ingeniería Civil Mecánica,0,0,0,4,4,4,3,0,0,0,0,0,0,4,4,4,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1,0,1,0
Ingeniería Civil Mecánica,0,0,0,4,1,4,4,4,4,3,0,0,1,4,4,0,4,4,4,0,0,0,0,4,4,2,4,4,4,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0,0,0,9,1,0,1,0
Ingeniería Civil Informática,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97,0,0,7,1,0,1,1
Ingeniería Civil Informática,1,4,1,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,0,7,1,0,1,0
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,94,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,1,1,1,4,4,4,4,4,1,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,40,0,0,9,1,0,1,0
Ingeniería Civil Metalúrgica,1,0,0,0,1,4,1,4,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,1,4,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,10,1,0,1,0
Ingeniería Civil Metalúrgica,2,0,4,4,4,0,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43,0,0,10,1,1,1,0
Ingeniería Civil Mecánica,2,4,0,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,80,0,0,9,1,0,1,1
Ingeniería Comercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0,0,0,14,1,0,1,0
Ingeniería Civil Mecánica,2,0,0,4,1,4,1,4,1,4,4,3,4,4,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,24,0,0,9,1,0,1,0
Ingeniería Civil Industrial,4,4,0,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,1,2,4,4,4,4.0,4.0,1.0,4.0,0.0,4.0,4.0,0.0,90,0,0,6,1,0,1,1
Ingeniería Civil Metalúrgica,4,3,0,4,4,4,4,4,4,0,2,3,1,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,0,0,0,4,0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,69,0,0,10,1,1,1,1
Ingeniería Civil Metalúrgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1,0,1,0
Ingeniería Civil Metalúrgica,4,1,0,4,1,4,4,4,1,4,0,0,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,1,4,2,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,73,0,0,10,1,0,1,1
Ingeniería Civil,3,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,87,0,0,1,1,0,1,1
Ingeniería Civil Plan Común,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,1,0,1,0
Ingeniería Civil Informática,3,1,3,0,4,0,4,4,4,4,0,1,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,3,4,0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,63,0,0,7,1,0,1,1
